OCCUR_DATE,Incident Count,,Occur_Date,Incident Count,,New Years,,Memorial Day,,Thanksgiving,,Black Friday,,Christmas ,,,,,,,
09-09-2008,1,,01-05-2009,2,,,,,,,,,,,,,,,,,
09-09-2008,1,,01-05-2010,1,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-05-2011,5,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-05-2012,9,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-05-2013,4,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-05-2014,1,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-05-2015,7,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-05-2016,2,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-05-2017,1,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-05-2018,1,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2006,4,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2007,1,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2008,3,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2009,1,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2010,1,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2011,5,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2012,4,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2013,4,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2014,1,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2015,6,,,,,,,,,,,,,,,,,
09-09-2007,1,,01-06-2016,3,,,,,,,,,,,,,,,,,
09-09-2006,1,,01-06-2017,4,,,,,,,,,,,,,,,,,
09-09-2006,1,,01-06-2018,20,,,,,,,,,,,,,,,,,
09-09-2006,1,,01-07-2006,2,,,,,,,,,,,,,,,,,
09-09-2006,1,,01-07-2007,5,,,,,,,,,,,,,,,,,
09-09-2006,1,,01-07-2008,5,,,,,,,,,,,,,,,,,
09-09-2006,1,,01-07-2010,1,,,,,,,,,,,,,,,,,
09-09-2006,1,,01-07-2012,4,,,,,,,,,,,,,,,,,
09-08-2017,1,,01-07-2013,11,,,,,,,,,,,,,,,,,
09-08-2016,1,,01-07-2014,1,,,,,,,,,,,,,,,,,
09-08-2015,1,,01-07-2015,2,,,,,,,,,,,,,,,,,
09-08-2015,1,,01-07-2016,1,,,,,,,,,,,,,,,,,
09-08-2015,1,,01-08-2006,4,,,,,,,,,,,,,,,,,
09-08-2015,1,,01-08-2007,2,,,,,,,,,,,,,,,,,
09-08-2014,1,,01-08-2008,2,,,,,,,,,,,,,,,,,
09-08-2014,1,,01-08-2009,2,,,,,,,,,,,,,,,,,
09-08-2014,1,,01-08-2010,4,,,,,,,,,,,,,,,,,
09-08-2014,1,,01-08-2011,1,,,,,,,,,,,,,,,,,
09-08-2014,1,,01-08-2012,5,,,,,,,,,,,,,,,,,
09-08-2013,1,,01-08-2013,7,,,,,,,,,,,,,,,,,
09-08-2013,1,,01-08-2014,2,,,,,,,,,,,,,,,,,
09-08-2013,1,,01-08-2015,2,,,,,,,,,,,,,,,,,
09-08-2013,1,,01-08-2018,1,,,,,,,,,,,,,,,,,
09-08-2013,1,,01-09-2006,9,,,,,,,,,,,,,,,,,
09-08-2012,1,,01-09-2007,3,,,,,,,,,,,,,,,,,
09-08-2012,1,,01-09-2008,1,,,,,,,,,,,,,,,,,
09-08-2012,1,,01-09-2009,1,,,,,,,,,,,,,,,,,
09-08-2012,1,,01-09-2010,5,,,,,,,,,,,,,,,,,
09-08-2012,1,,01-09-2011,4,,,,,,,,,,,,,,,,,
09-08-2012,1,,01-09-2012,2,,,,,,,,,,,,,,,,,
09-08-2012,1,,01-09-2013,2,,,,,,,,,,,,,,,,,
09-08-2011,1,,01-09-2014,1,,,,,,,,,,,,,,,,,
09-08-2011,1,,01-09-2015,1,,,,,,,,,,,,,,,,,
09-08-2011,1,,01-09-2016,5,,,,,,,,,,,,,,,,,
09-08-2011,1,,01-09-2018,4,,,,,,,,,,,,,,,,,
09-08-2011,1,,01-10-2006,5,,,,,,,,,,,,,,,,,
09-08-2011,1,,01-10-2007,2,,,,,,,,,,,,,,,,,
09-08-2011,1,,01-10-2008,2,,,,,,,,,,,,,,,,,
09-08-2011,1,,01-10-2009,8,,,,,,,,,,,,,,,,,
09-08-2011,1,,01-10-2010,4,,,,,,,,,,,,,,,,,
09-08-2010,1,,01-10-2011,4,,,,,,,,,,,,,,,,,
09-08-2010,1,,01-10-2012,6,,,,,,,,,,,,,,,,,
09-08-2010,1,,01-10-2013,8,,,,,,,,,,,,,,,,,
09-08-2009,1,,01-10-2014,12,,,,,,,,,,,,,,,,,
09-08-2008,1,,01-10-2015,3,,,,,,,,,,,,,,,,,
09-08-2008,1,,01-10-2016,6,,,,,,,,,,,,,,,,,
09-08-2008,1,,01-10-2018,2,,,,,,,,,,,,,,,,,
09-08-2007,1,,01-11-2006,2,,,,,,,,,,,,,,,,,
09-08-2007,1,,01-11-2007,3,,,,,,,,,,,,,,,,,
09-08-2007,1,,01-11-2008,3,,,,,,,,,,,,,,,,,
09-08-2007,1,,01-11-2009,6,,,,,,,,,,,,,,,,,
09-08-2007,1,,01-11-2010,2,,,,,,,,,,,,,,,,,
09-08-2006,1,,01-11-2011,2,,,,,,,,,,,,,,,,,
09-08-2006,1,,01-11-2012,4,,,,,,,,,,,,,,,,,
09-08-2006,1,,01-11-2013,1,,,,,,,,,,,,,,,,,
